Kategorie: Alle Kategorien

Woche,NASDAQ:TSLA: (Weltweit)
2019-12-29,15
2020-01-05,24
2020-01-12,31
2020-01-19,27
2020-01-26,39
2020-02-02,94
2020-02-09,42
2020-02-16,38
2020-02-23,42
2020-03-01,34
2020-03-08,39
2020-03-15,40
2020-03-22,28
2020-03-29,26
2020-04-05,19
2020-04-12,30
2020-04-19,22
2020-04-26,39
2020-05-03,27
2020-05-10,24
2020-05-17,17
2020-05-24,14
2020-05-31,21
2020-06-07,31
2020-06-14,22
2020-06-21,18
2020-06-28,28
2020-07-05,47
2020-07-12,57
2020-07-19,61
2020-07-26,34
2020-08-02,25
2020-08-09,38
2020-08-16,55
2020-08-23,53
2020-08-30,100
2020-09-06,73
2020-09-13,59
2020-09-20,74
2020-09-27,41
2020-10-04,31
2020-10-11,29
2020-10-18,38
2020-10-25,27
2020-11-01,23
2020-11-08,24
2020-11-15,51
2020-11-22,39
2020-11-29,45
2020-12-06,49
2020-12-13,45
2020-12-20,41
2020-12-27,32
2021-01-03,57
2021-01-10,56
2021-01-17,33
2021-01-24,50
2021-01-31,39
2021-02-07,34
2021-02-14,29
2021-02-21,60
2021-02-28,51
2021-03-07,58
2021-03-14,37
2021-03-21,38
2021-03-28,34
2021-04-04,35
2021-04-11,35
2021-04-18,29
2021-04-25,39
2021-05-02,27
2021-05-09,34
2021-05-16,33
2021-05-23,26
2021-05-30,22
2021-06-06,23
2021-06-13,21
2021-06-20,24
2021-06-27,23
2021-07-04,17
2021-07-11,19
2021-07-18,17
2021-07-25,29
2021-08-01,22
2021-08-08,18
2021-08-15,23
2021-08-22,19
2021-08-29,18
2021-09-05,16
2021-09-12,17
2021-09-19,17
2021-09-26,18
2021-10-03,16
2021-10-10,15
2021-10-17,23
2021-10-24,38
2021-10-31,35
2021-11-07,40
2021-11-14,28
2021-11-21,19
2021-11-28,20
2021-12-05,22
2021-12-12,22
2021-12-19,20
